,date,fromStart,infectionRateCI90,testPositivityRatio,caseDensity,weeklyNewCasesPer100k,infectionRate,FoxPolarity,VoxPolarity
56,2020-05-10,60,0.1,0.1,7.4,51.7,0.94,0.4847444444444445,0.656
57,2020-05-11,61,0.1,0.097,7.2,50.4,0.94,0.419774251497006,0.3967346153846154
58,2020-05-12,62,0.1,0.093,7.1,50.0,0.95,0.3003036971830986,0.5334500000000001
59,2020-05-13,63,0.1,0.089,7.0,49.0,0.95,0.3777504807692308,0.5904090909090909
60,2020-05-14,64,0.1,0.086,6.9,48.5,0.95,0.4230622950819672,0.6377894736842106
61,2020-05-15,65,0.1,0.084,6.9,48.1,0.96,0.3536906451612903,0.7750380952380953
62,2020-05-16,66,0.1,0.082,6.8,47.7,0.96,0.3109506711409396,0.4890166666666666
63,2020-05-17,67,0.1,0.082,6.8,47.3,0.96,0.3265739946380697,0.4314428571428572
64,2020-05-18,68,0.1,0.081,6.9,48.6,0.97,0.1784050505050504,0.5661764705882353
65,2020-05-19,69,0.1,0.08,6.9,48.2,0.97,0.3355140077821012,0.5111
66,2020-05-20,70,0.1,0.079,7.0,48.8,0.97,0.2837521978021978,0.6005541666666666
67,2020-05-21,71,0.1,0.077,6.9,48.3,0.97,0.3647546296296297,0.6291863636363636
68,2020-05-22,72,0.1,0.076,6.8,47.5,0.97,0.3361546031746031,0.6035684210526316
69,2020-05-23,73,0.1,0.074,6.7,47.1,0.98,0.2064715231788079,0.3171666666666666
70,2020-05-24,74,0.1,0.072,6.8,47.4,0.98,0.3719462214411247,0.99228
71,2020-05-25,75,0.1,0.071,6.7,46.6,0.98,0.369372026431718,0.3276833333333333
72,2020-05-26,76,0.1,0.07,6.6,46.0,0.98,0.3475444444444444,0.5201619047619048
73,2020-05-27,77,0.1,0.069,6.4,44.7,0.98,0.1855979865771812,0.4241130434782608
74,2020-05-28,78,0.1,0.068,6.3,43.9,0.98,0.0783656957928802,0.5991875
75,2020-05-29,79,0.1,0.067,6.3,44.1,0.99,0.0597149897330595,-0.0231135135135135
76,2020-05-30,80,0.1,0.066,6.3,44.4,0.99,-0.0352419312169312,-0.3209083333333333
77,2020-05-31,81,0.1,0.065,6.4,44.6,0.99,-0.1388275294117647,0.1641299999999999
78,2020-06-02,83,0.1,0.063,6.5,45.5,1.0,-0.032239794168096,-0.2285033333333333
79,2020-06-03,84,0.1,0.062,6.6,45.9,1.01,-0.13419,0.1888857142857142
80,2020-06-04,85,0.1,0.061,6.5,45.4,1.01,-0.0333534562211981,-0.1053764705882353
81,2020-06-05,86,0.1,0.06,6.5,45.3,1.02,0.157456836461126,-0.2211111111111111
