,testPositivityRatio,caseDensity,weeklyNewCasesPer100k,infectionRate,infectionRateCI90,date
861,0.141,26.0,182.3,0.93,0.1,2022-08-26
862,0.139,26.1,182.5,0.93,0.1,2022-08-27
863,0.138,26.1,182.6,0.92,0.1,2022-08-28
864,0.136,25.7,180.0,0.92,0.1,2022-08-29
865,0.135,25.9,181.6,0.92,0.1,2022-08-30
866,0.133,26.0,181.8,0.91,0.1,2022-08-31
867,0.131,26.0,181.8,0.91,0.1,2022-09-01
868,0.13,25.4,177.5,0.91,0.1,2022-09-02
869,0.129,25.3,177.1,0.91,0.1,2022-09-03
870,0.127,25.2,176.3,0.91,0.1,2022-09-04
871,0.125,21.1,148.0,0.91,0.1,2022-09-05
872,0.125,21.8,152.7,0.9,0.1,2022-09-06
873,0.122,21.4,149.6,0.9,0.1,2022-09-07
874,0.12,20.6,144.1,0.91,0.1,2022-09-08
875,0.117,20.0,139.8,0.91,0.1,2022-09-09
876,0.115,19.8,138.5,0.91,0.1,2022-09-10
877,0.114,20.0,140.2,0.91,0.1,2022-09-11
878,0.112,23.0,161.0,0.91,0.1,2022-09-12
879,0.108,20.2,141.7,0.91,0.1,2022-09-13
880,0.105,19.0,133.1,0.91,0.1,2022-09-14
881,0.102,19.2,134.3,0.91,0.1,2022-09-15
882,0.1,18.5,129.7,0.91,0.1,2022-09-16
883,0.099,18.7,130.8,0.91,0.1,2022-09-17
884,0.098,18.4,128.9,0.91,0.1,2022-09-18
885,0.097,17.6,122.9,0.91,0.1,2022-09-19
886,0.096,17.1,119.8,0.91,0.1,2022-09-20
887,0.094,16.8,117.4,0.91,0.1,2022-09-21
888,0.093,16.8,117.8,0.91,0.1,2022-09-22
889,0.092,16.2,113.6,0.91,0.1,2022-09-23
890,0.092,16.3,114.0,0.91,0.1,2022-09-24
891,0.091,16.3,114.3,0.91,0.1,2022-09-25
892,0.089,15.9,111.6,0.92,0.1,2022-09-26
893,0.088,15.5,108.7,0.92,0.1,2022-09-27
894,0.087,14.7,102.8,0.92,0.1,2022-09-28
895,0.086,14.3,100.2,0.93,0.1,2022-09-29
896,0.085,14.1,98.5,0.93,0.1,2022-09-30
897,0.084,14.0,98.0,0.93,0.1,2022-10-01
898,0.084,14.0,97.9,0.93,0.1,2022-10-02
899,0.083,13.5,94.7,0.93,0.1,2022-10-03
900,0.082,13.3,92.9,0.93,0.1,2022-10-04
901,0.081,13.0,90.8,0.94,0.1,2022-10-05
902,0.081,12.5,87.4,0.94,0.1,2022-10-06
903,0.081,12.3,86.0,0.94,0.1,2022-10-07
904,0.08,14.1,98.4,0.94,0.1,2022-10-09
905,0.08,12.9,90.1,0.94,0.1,2022-10-10
906,0.08,13.6,95.1,0.94,0.1,2022-10-11
907,0.08,13.2,92.6,0.94,0.1,2022-10-12
908,0.08,13.3,93.3,0.94,0.1,2022-10-13
909,0.08,13.1,91.4,0.94,0.1,2022-10-14
910,0.08,11.3,79.2,0.95,0.1,2022-10-15
911,0.08,11.3,79.2,0.95,0.1,2022-10-16
912,0.079,12.3,86.1,0.95,0.1,2022-10-17
913,0.079,11.4,79.5,0.96,0.1,2022-10-18
914,0.079,11.1,78.0,0.97,0.1,2022-10-19
915,0.078,10.5,73.6,0.97,0.1,2022-10-20
916,0.077,10.7,75.0,0.98,0.1,2022-10-21
917,0.077,10.7,74.9,0.99,0.1,2022-10-22
918,0.077,10.7,74.9,1.0,0.1,2022-10-23
919,0.078,10.4,72.7,1.0,0.1,2022-10-24
920,0.078,10.3,71.9,1.01,0.1,2022-10-25
921,0.078,10.8,75.7,1.01,0.1,2022-10-26
922,0.079,11.1,78.0,1.02,0.1,2022-10-27
923,0.08,11.3,79.3,1.02,0.1,2022-10-28
924,0.08,11.4,79.7,1.03,0.1,2022-10-29
925,0.08,11.2,78.7,1.03,0.1,2022-10-30
926,0.08,11.5,80.7,1.03,0.1,2022-10-31
927,0.08,11.5,80.2,1.02,0.1,2022-11-01
928,0.081,11.3,78.8,1.02,0.1,2022-11-02
929,0.081,11.7,81.6,1.02,0.1,2022-11-03
930,0.082,12.1,84.6,1.02,0.1,2022-11-04
931,0.082,12.1,84.6,1.02,0.1,2022-11-05
932,0.082,12.2,85.5,1.02,0.1,2022-11-06
933,0.082,11.9,83.3,1.02,0.1,2022-11-07
934,0.082,11.8,82.4,1.01,0.1,2022-11-08
935,0.082,12.5,87.7,1.01,0.1,2022-11-09
936,0.081,13.0,90.7,1.02,0.1,2022-11-10
937,0.081,11.4,79.5,1.02,0.1,2022-11-11
938,0.082,11.3,79.2,1.02,0.1,2022-11-12
939,0.082,11.1,77.7,1.02,0.1,2022-11-13
940,0.081,11.6,81.3,1.02,0.1,2022-11-14
941,0.082,12.1,84.9,1.02,0.1,2022-11-15
942,0.082,11.7,81.8,1.03,0.1,2022-11-16
943,0.083,11.5,80.4,1.03,0.1,2022-11-17
944,0.084,12.9,90.1,1.05,0.1,2022-11-19
945,0.085,12.9,90.6,1.06,0.1,2022-11-20
946,0.087,12.6,88.0,1.07,0.1,2022-11-21
947,0.09,12.8,89.5,1.07,0.1,2022-11-22
948,0.093,14.1,99.0,1.08,0.1,2022-11-23
949,0.096,11.8,82.5,1.09,0.1,2022-11-24
950,0.099,11.2,78.4,1.1,0.1,2022-11-25
951,0.102,11.1,77.7,1.11,0.1,2022-11-26
952,0.105,11.3,78.8,1.12,0.1,2022-11-27
953,0.108,11.9,83.1,1.12,0.1,2022-11-28
954,0.112,12.3,85.8,1.12,0.1,2022-11-29
955,0.114,12.3,86.1,1.12,0.1,2022-11-30
956,0.115,15.0,105.0,1.13,0.1,2022-12-01
957,0.116,17.1,119.4,1.13,0.1,2022-12-02
958,0.117,17.2,120.5,1.12,0.1,2022-12-03
959,0.118,17.1,119.8,1.12,0.1,2022-12-04
960,0.118,17.0,118.7,1.11,0.1,2022-12-05
961,0.119,17.1,119.4,1.1,0.1,2022-12-06
962,0.119,18.7,130.9,1.09,0.1,2022-12-07
963,0.12,20.5,143.6,1.09,0.1,2022-12-08
964,0.12,18.8,131.5,1.08,0.1,2022-12-09
965,0.121,18.8,131.6,1.07,0.1,2022-12-10
966,0.121,18.8,131.8,1.06,0.1,2022-12-11
967,0.122,18.8,131.9,1.05,0.1,2022-12-12
968,0.122,19.3,134.8,1.04,0.1,2022-12-13
969,0.123,19.5,136.3,1.04,0.1,2022-12-14
970,0.124,18.9,132.2,1.03,0.1,2022-12-15
971,0.125,20.6,144.5,1.03,0.1,2022-12-16
972,0.125,20.6,144.4,1.03,0.1,2022-12-17
973,0.126,20.7,144.6,1.02,0.1,2022-12-18
974,0.127,20.8,145.5,1.01,0.1,2022-12-19
975,0.129,20.7,145.0,1.01,0.1,2022-12-20
976,0.132,22.1,154.7,1.01,0.1,2022-12-21
977,0.134,23.0,161.3,1.0,0.1,2022-12-22
978,0.137,21.2,148.4,1.0,0.1,2022-12-23
979,0.138,21.2,148.4,1.0,0.1,2022-12-24
980,0.138,21.1,147.6,0.99,0.1,2022-12-25
981,0.14,19.0,133.1,0.98,0.1,2022-12-26
982,0.144,20.3,141.8,0.98,0.1,2022-12-27
983,0.148,17.5,122.5,0.97,0.1,2022-12-28
984,0.151,15.8,110.9,0.96,0.1,2022-12-29
985,0.142,33.1,231.4,0.91,0.1,2023-01-06
986,0.14,17.1,119.5,0.91,0.1,2023-01-07
987,0.138,12.0,84.0,0.91,0.1,2023-01-08
988,0.134,12.3,86.4,0.91,0.1,2023-01-09
989,0.128,12.5,87.6,0.9,0.1,2023-01-10
990,0.123,18.4,128.7,0.91,0.1,2023-01-11
991,0.119,19.9,139.6,0.91,0.1,2023-01-12
992,0.116,16.5,115.8,0.91,0.1,2023-01-13
993,0.114,16.6,115.9,0.92,0.1,2023-01-14
994,0.112,16.5,115.2,0.92,0.1,2023-01-15
995,0.111,14.9,104.3,0.91,0.1,2023-01-16
996,0.11,15.5,108.8,0.92,0.1,2023-01-17
997,0.108,15.0,104.8,0.92,0.1,2023-01-18
998,0.107,13.7,96.0,0.92,0.1,2023-01-19
999,0.105,14.4,100.6,0.93,0.1,2023-01-21
1000,0.105,14.4,101.1,0.93,0.1,2023-01-22
1001,0.104,15.6,109.5,0.93,0.1,2023-01-23
1002,0.103,14.3,100.1,0.94,0.1,2023-01-24
1003,0.102,12.7,88.9,0.94,0.1,2023-01-25
1004,0.101,13.2,92.7,0.95,0.1,2023-01-26
1005,0.102,12.0,83.7,0.96,0.1,2023-01-27
1006,0.101,12.0,83.7,0.96,0.1,2023-01-28
1007,0.101,11.9,83.5,0.96,0.1,2023-01-29
1008,0.1,11.8,82.9,0.97,0.1,2023-01-30
1009,0.1,11.8,82.9,0.97,0.1,2023-01-31
1010,0.1,11.7,81.8,0.97,0.1,2023-02-01
1011,0.099,11.2,78.4,0.97,0.1,2023-02-02
1012,0.098,13.4,93.6,0.97,0.1,2023-02-03
1013,0.098,13.4,93.8,0.97,0.1,2023-02-04
1014,0.097,13.3,93.3,0.97,0.1,2023-02-05
1015,0.097,13.1,91.5,0.97,0.1,2023-02-06
1016,0.096,13.1,91.6,0.96,0.1,2023-02-07
1017,0.096,13.2,92.4,0.96,0.1,2023-02-08
1018,0.096,13.3,92.8,0.96,0.1,2023-02-09
1019,0.096,11.1,77.7,0.96,0.1,2023-02-10
1020,0.096,11.1,77.4,0.96,0.1,2023-02-11
1021,0.096,11.1,77.5,0.96,0.1,2023-02-12
1022,0.095,11.1,77.4,0.95,0.1,2023-02-13
1023,0.095,10.9,76.1,0.95,0.1,2023-02-14
1024,0.094,10.5,73.3,0.95,0.1,2023-02-15
1025,0.092,10.5,73.8,0.96,0.1,2023-02-16
1026,0.092,11.9,83.4,0.96,0.1,2023-02-17
1027,0.092,12.0,84.0,0.96,0.1,2023-02-18
1028,0.091,12.0,84.0,0.96,0.1,2023-02-19
1029,0.091,11.3,79.1,0.96,0.1,2023-02-20
1030,0.09,11.4,79.6,0.96,0.1,2023-02-21
1031,0.089,11.3,78.9,0.96,0.1,2023-02-22
1032,0.088,11.0,77.1,0.96,0.1,2023-02-23
1033,0.086,9.5,66.6,0.96,0.1,2023-02-24
1034,0.085,9.4,65.8,0.95,0.1,2023-02-25
1035,0.084,9.4,65.6,0.95,0.1,2023-02-26
1036,0.083,9.8,68.6,0.94,0.1,2023-02-27
1037,0.081,9.8,68.3,0.93,0.1,2023-02-28
1038,0.08,9.2,64.5,0.91,0.1,2023-03-01
1039,0.078,9.1,63.8,0.9,0.1,2023-03-02
1040,0.077,11.6,81.4,0.89,0.1,2023-03-03
1041,0.076,11.6,81.4,0.88,0.1,2023-03-04
1042,0.075,11.6,81.2,0.86,0.1,2023-03-05
1043,0.073,11.5,80.2,0.85,0.1,2023-03-06
1044,0.072,11.3,78.8,0.83,0.1,2023-03-07
1045,0.071,10.2,71.4,0.82,0.1,2023-03-08
1046,0.07,9.9,69.4,0.81,0.1,2023-03-09
1047,0.07,7.4,51.5,0.81,0.1,2023-03-10
1048,0.069,7.4,51.5,0.81,0.1,2023-03-11
1049,0.069,7.3,51.3,0.8,0.1,2023-03-12
1050,0.069,7.3,50.8,0.81,0.1,2023-03-13
1051,0.068,7.1,49.7,0.81,0.1,2023-03-14
1052,0.066,5.0,35.3,0.84,0.1,2023-03-16
1053,0.066,5.5,38.4,0.86,0.1,2023-03-17
1054,0.066,5.5,38.2,0.88,0.1,2023-03-18
1055,0.065,5.5,38.4,0.9,0.1,2023-03-19
1056,0.065,5.3,37.2,0.92,0.1,2023-03-20
1057,0.066,5.2,36.6,0.94,0.1,2023-03-21
1058,0.066,6.7,47.0,0.96,0.1,2023-03-22
1059,0.067,5.4,37.8,0.99,0.1,2023-03-24
1060,0.066,6.6,46.1,1.01,0.1,2023-03-25
1061,0.066,7.8,54.4,1.02,0.1,2023-03-26
1062,0.066,8.5,59.7,1.02,0.1,2023-03-27
1063,0.066,8.9,62.0,1.02,0.1,2023-03-28
1064,0.065,7.5,52.5,1.02,0.1,2023-03-29
1065,0.064,7.2,50.7,1.02,0.1,2023-03-30
1066,0.064,7.0,48.8,1.01,0.1,2023-03-31
1067,0.064,6.7,47.0,1.01,0.1,2023-04-01
1068,0.063,6.5,45.2,1.0,0.1,2023-04-02
1069,0.063,6.2,43.4,0.98,0.1,2023-04-03
1070,0.062,5.9,41.5,0.97,0.1,2023-04-04
1071,0.062,5.7,39.7,0.96,0.1,2023-04-05
1072,0.062,5.5,38.8,0.95,0.1,2023-04-06
1073,0.062,5.4,37.8,0.95,0.1,2023-04-07
1074,0.061,5.3,36.9,0.94,0.1,2023-04-08
1075,0.061,5.1,35.9,0.94,0.1,2023-04-09
1076,0.06,5.0,35.0,0.93,0.1,2023-04-10
1077,0.061,4.9,34.1,0.92,0.1,2023-04-11
1078,0.06,4.7,33.1,0.92,0.1,2023-04-12
1079,0.06,4.7,33.0,0.93,0.1,2023-04-13
1080,0.059,4.7,32.9,0.93,0.1,2023-04-14
1081,0.059,4.7,32.7,0.93,0.1,2023-04-15
1082,0.058,4.7,32.6,0.93,0.1,2023-04-16
1083,0.057,4.6,32.5,0.93,0.1,2023-04-17
1084,0.056,4.6,32.4,0.93,0.1,2023-04-18
1085,0.054,4.6,32.2,0.93,0.1,2023-04-19
1086,0.053,4.5,31.8,0.93,0.1,2023-04-20
1087,0.052,4.5,31.4,0.94,0.1,2023-04-21
1088,0.051,4.4,31.0,0.94,0.1,2023-04-22
1089,0.051,4.4,30.6,0.94,0.1,2023-04-23
1090,0.05,4.3,30.2,0.94,0.1,2023-04-24
1091,0.05,4.2,29.7,0.94,0.1,2023-04-25
1092,0.05,4.2,29.3,0.95,0.1,2023-04-26
1093,0.05,4.1,28.8,0.96,0.1,2023-04-27
1094,0.049,4.0,28.3,0.98,0.1,2023-04-28
1095,0.049,4.0,27.8,0.99,0.1,2023-04-29
1096,0.05,3.9,27.3,1.0,0.1,2023-04-30
1097,0.05,3.8,26.8,1.01,0.1,2023-05-01
1098,0.05,3.8,26.3,1.03,0.1,2023-05-02
1099,0.051,3.7,25.8,1.05,0.1,2023-05-03
1100,0.051,3.6,25.4,1.07,0.1,2023-05-04
1101,0.05,3.6,25.0,1.09,0.1,2023-05-05
1102,0.05,3.5,24.5,1.11,0.1,2023-05-06
1103,0.05,3.4,24.1,1.13,0.1,2023-05-07
1104,0.049,3.4,23.7,1.15,0.1,2023-05-08
1105,0.049,3.3,23.2,1.17,0.1,2023-05-09
